subject,state,radar,start_s,end_s,duration_s,rsp_rr_bpm,ecg_hr_bpm,radar_rr_bpm,radar_hr_bpm,rr_abs_error,hr_abs_error,quality,motion_index,primary_bin,ghost_bin
S17_RJS,운동 후 호흡,2,543.25,593.25,50.0,25.955821558416798,122.95081967213115,25.979486114089273,48.994706510549086,0.023664555672475274,73.95611316158207,0.024341848455454975,0.031460682861644725,66,77
S17_RJS,운동 후 호흡,3,543.25,593.25,50.0,25.955821558416798,122.95081967213115,26.04665566989924,50.964788409239326,0.0908341114824438,71.98603126289183,0.016437278742016982,0.027043509080684758,77,25
S18_LJH,평소 호흡,1,242.43400000000003,292.434,50.0,17.881199194141082,90.9090909090909,7.526168363562712,45.1171875,10.355030830578372,45.79190340909091,0.014757929766598411,0.030864732031993816,14,5
S18_LJH,평소 호흡,2,242.43400000000003,292.434,50.0,17.881199194141082,90.9090909090909,17.745108614947373,45.1171875,0.13609057919370926,45.79190340909091,0.013949189874592385,0.03246458063146836,65,21
S18_LJH,평소 호흡,3,242.43400000000003,292.434,50.0,17.881199194141082,90.9090909090909,5.92121421516737,52.370077843692435,11.959984978973711,38.53901306539847,0.009317846348154751,0.02558286973828038,60,18
S18_LJH,느린 호흡,1,302.434,352.434,50.0,5.966226397009381,87.71929824561403,5.921837449306274,57.443658220539206,0.04438894770310675,30.27564002507482,0.02454921584961288,0.029945292490902643,14,82
S18_LJH,느린 호흡,2,302.434,352.434,50.0,5.966226397009381,87.71929824561403,5.996364826409983,45.1171875,0.030138429400602185,42.60211074561403,0.05535202415774773,0.03207304772772626,20,34
S18_LJH,느린 호흡,3,302.434,352.434,50.0,5.966226397009381,87.71929824561403,6.105596587399306,50.602840989778315,0.1393701903899256,37.11645725583571,0.0409508032824852,0.0268348979161672,61,66
S18_LJH,숨 참기,1,359.434,386.434,27.0,5.4931640625,93.16770186335404,7.871649926298319,47.18702171742559,2.3784858637983186,45.98068014592845,0.028350124321371288,0.03192135832005221,14,66
S18_LJH,숨 참기,2,359.434,386.434,27.0,5.4931640625,93.16770186335404,5.788980714782478,93.8871574387623,0.2958166522824781,0.7194555754082614,0.028854158425287137,0.03298662460161471,65,22
S18_LJH,숨 참기,3,359.434,386.434,27.0,5.4931640625,93.16770186335404,5.620046517267673,103.8620968732329,0.12688245476767257,10.69439500987886,0.01793592634462624,0.02854607651862973,60,17
S18_LJH,숨참기 후 호흡,1,392.434,442.434,50.0,14.469411553321047,94.9367088607595,14.75252539027978,50.381763934761885,0.2831138369587336,44.55494492599761,0.008414927448446284,0.03069685024936097,60,84
S18_LJH,숨참기 후 호흡,2,392.434,442.434,50.0,14.469411553321047,94.9367088607595,14.676246149966323,45.1171875,0.20683459664527604,49.819521360759495,0.028513761892939086,0.030602030695301125,66,74
S18_LJH,숨참기 후 호흡,3,392.434,442.434,50.0,14.469411553321047,94.9367088607595,14.427178296972077,45.65807732031694,0.042233256348970016,49.278631540442554,0.009420065665073318,0.024336555031605693,34,77
S18_LJH,운동 준비,1,447.434,462.434,15.0,26.350125289690727,103.09278350515464,9.592331332601333,51.79271341818105,16.757793957089394,51.30007008697359,0.01892322804239203,0.03945512601488248,81,47
S18_LJH,운동 준비,2,447.434,462.434,15.0,26.350125289690727,103.09278350515464,8.202496944991644,100.56227169460671,18.147628344699083,2.530511810547935,0.017081573905556532,0.043055999239781664,20,15
S18_LJH,운동 준비,3,447.434,462.434,15.0,26.350125289690727,103.09278350515464,8.242176686179523,45.1171875,18.107948603511204,57.97559600515464,0.015216567073951293,0.03345479549379255,76,18
S18_LJH,스쿼트,1,462.434,522.434,59.99999999999994,8.387719671553747,91.46341463414633,4.98046875,101.73937442764274,3.4072509215537465,10.275959793496412,0.0568599165805271,0.028560717951621274,82,62
S18_LJH,스쿼트,2,462.434,522.434,59.99999999999994,8.387719671553747,91.46341463414633,4.98046875,46.65267016279211,3.4072509215537465,44.81074447135422,0.08258963744961827,0.03552947936081308,18,45
S18_LJH,스쿼트,3,462.434,522.434,59.99999999999994,8.387719671553747,91.46341463414633,4.98046875,108.17145020559666,3.4072509215537465,16.708035571450324,0.12707123082297514,0.02313888510972181,31,76
S18_LJH,의자 착석,1,522.434,537.434,15.0,14.343961936068878,109.89010989010988,9.053832484964806,50.9678765298658,5.290129451104072,58.922233360244086,0.024986181281243254,0.0443078078274497,18,80
S18_LJH,의자 착석,2,522.434,537.434,15.0,14.343961936068878,109.89010989010988,8.363756638956177,60.51844455208542,5.9802052971127,49.371665338024464,0.009675790173796663,0.05118854547132715,13,62
S18_LJH,의자 착석,3,522.434,537.434,15.0,14.343961936068878,109.89010989010988,8.787151623560698,59.842418417688094,5.55681031250818,50.04769147242179,0.02404284797429993,0.04304160645344985,76,31
S18_LJH,운동 후 호흡,1,542.434,592.434,50.0,16.2823026328783,99.33774834437087,16.235800095928838,45.1171875,0.04650253694946116,54.220560844370866,0.02028035479568608,0.029495146932051377,13,78
S18_LJH,운동 후 호흡,2,542.434,592.434,50.0,16.2823026328783,99.33774834437087,16.424611997469608,46.11140400066962,0.14230936459130916,53.22634434370124,0.0563116275016094,0.03157219675483283,19,31
S18_LJH,운동 후 호흡,3,542.434,592.434,50.0,16.2823026328783,99.33774834437087,16.260828727552635,48.07847462814101,0.021473905325663623,51.259273716229856,0.026339987077438676,0.024433127420074134,61,13
S19_CHW,평소 호흡,1,292.062,342.062,50.0,13.089242863560992,80.64516129032258,5.857806055525438,54.392516616787255,7.231436808035554,26.252644673535322,0.010489821165978857,0.034820019138334844,59,14
S19_CHW,평소 호흡,2,292.062,342.062,50.0,13.089242863560992,80.64516129032258,13.194493860809565,45.1171875,0.10525099724857334,35.52797379032258,0.018817323735402725,0.03413462552245406,72,27
S19_CHW,평소 호흡,3,292.062,342.062,50.0,13.089242863560992,80.64516129032258,5.493271032177976,52.847840334853636,7.595971831383016,27.79732095546894,0.013809058798935871,0.029234669785446817,14,61
S19_CHW,느린 호흡,1,352.062,402.062,50.0,6.1096903202676485,80.21390374331551,6.105133161066436,45.62078933299654,0.004557159201212357,34.593114410318975,0.03457576208516515,0.0330981494363926,58,25
S19_CHW,느린 호흡,2,352.062,402.062,50.0,6.1096903202676485,80.21390374331551,6.120962573269193,47.528279672527646,0.011272253001544108,32.68562407078787,0.03340965451226729,0.03295803897085371,65,72
S19_CHW,느린 호흡,3,352.062,402.062,50.0,6.1096903202676485,80.21390374331551,5.537434120173796,50.63127949107822,0.572256200093852,29.582624252237295,0.047494819101542254,0.025645403034269182,29,14
S19_CHW,숨 참기,1,409.062,435.2,26.137999999999977,6.242486830733474,89.02077151335311,6.520551915161562,45.1171875,0.2780650844280874,43.90358401335311,0.027133236163780737,0.03341146827902657,59,71
S19_CHW,숨 참기,2,409.062,435.2,26.137999999999977,6.242486830733474,89.02077151335311,6.548851909525953,63.40647763418701,0.30636507879247876,25.614293879166098,0.008816247136174701,0.028095183536284228,19,75
S19_CHW,숨 참기,3,409.062,435.2,26.137999999999977,6.242486830733474,89.02077151335311,5.856352885131515,52.640347169926315,0.38613394560195946,36.380424343426796,0.03289084429436442,0.026585825595061514,14,18
S19_CHW,숨참기 후 호흡,1,441.2,491.2,50.0,24.429815886594024,93.75,24.638710978366987,45.1171875,0.20889509177296262,48.6328125,0.013395123873974724,0.03297420030504196,58,16
S19_CHW,숨참기 후 호흡,2,441.2,491.2,50.0,24.429815886594024,93.75,24.551529521914258,52.9574323959784,0.1217136353202335,40.7925676040216,0.01063807176261824,0.03163239023607602,64,77
S19_CHW,숨참기 후 호흡,3,441.2,491.2,50.0,24.429815886594024,93.75,4.98046875,45.1171875,19.449347136594024,48.6328125,0.01305360345975655,0.024950283035309103,75,35
