candidate,fold,seed,train_subject_n,validation_subject_n,test_subject_n,epochs_run,best_epoch,best_validation_loss,test_rr_window_mae_bpm,test_rr_window_within2,test_motion_balanced_accuracy,subject_count,rr_subject_macro_mae_bpm,rr_subject_macro_mae_sd,rr_subject_macro_within2,motion_subject_macro_balanced_accuracy,hidden_spike_rate,parameters,training_seconds
SNN_direct,2,42,18,3,6,75,60,0.0433901467546784,1.490262746810913,0.7914691943127962,0.9142969984202212,6,1.4997386134268151,0.7091095018899533,0.7899704326174916,0.9142857142857143,0.3105198336972131,2306,16.004998299991712
SNN_direct,2,314,18,3,6,65,50,0.041264467902625064,1.6080756187438965,0.7630331753554502,0.9142969984202212,6,1.6174230546399213,0.7233142109068894,0.7615079365079366,0.9142857142857143,0.300936171081331,2306,13.936449600150809
SNN_direct,2,2718,18,3,6,90,75,0.04027567522095644,1.5529271364212036,0.7772511848341233,0.9166666666666667,6,1.5630532052262416,0.793258994546422,0.7755524431995021,0.9166666666666666,0.3084259377585517,2306,19.271744499914348
SNN_direct,3,42,19,3,5,76,61,0.22180909437244925,1.3858455419540405,0.7942857142857143,1.0,5,1.3881655814912581,0.5454130957114487,0.7932399626517274,1.0,0.3083418781558673,2306,16.98579840012826
SNN_direct,3,314,19,3,5,44,29,0.26426786367061006,1.4314857721328735,0.8,0.9942857142857142,5,1.434474509601611,0.6838514826937167,0.7987861811391224,0.9941176470588236,0.2997603341937065,2306,9.855307299876586
SNN_direct,3,2718,19,3,5,67,52,0.2381146225598187,1.454226016998291,0.7942857142857143,0.9971428571428571,5,1.4568727197923133,0.6486295419735619,0.7932492997198879,0.9970588235294118,0.3038897017637889,2306,15.127427600091323
SNN_direct,4,42,19,3,5,112,97,0.06187111944187477,1.7545249462127686,0.7613636363636364,0.8914772727272727,5,1.7531380097071327,1.0600615924095218,0.7622222222222222,0.8914285714285715,0.3214921063433091,2306,25.156145500019193
SNN_direct,4,314,19,3,5,59,44,0.0672604138458458,1.7518119812011719,0.7443181818181818,0.8829545454545455,5,1.7501084793181647,1.0182160836674294,0.7452380952380954,0.8828571428571429,0.3103234836210807,2306,13.264809999847785
SNN_direct,4,2718,19,3,5,90,75,0.07940136243719496,1.732862949371338,0.7670454545454546,0.8943181818181818,5,1.7325500900783237,0.9280189593883114,0.7676190476190476,0.8942857142857144,0.3095384395370881,2306,20.333308900007978
SNN_direct,5,42,19,3,5,72,57,0.11886299874172282,0.6424954533576965,0.9485714285714286,1.0,5,0.6424954877580916,0.10785590773375679,0.9485714285714286,1.0,0.3113066504398982,2306,16.283636800013483
SNN_direct,5,314,19,3,5,57,42,0.1257247647049664,0.8749563097953796,0.9257142857142857,1.0,5,0.8749562617710659,0.12006381199966057,0.9257142857142858,1.0,0.30664148430029553,2306,12.729581499937922
SNN_direct,5,2718,19,3,5,58,43,0.1207252768339273,0.8335326910018921,0.9085714285714286,1.0,5,0.8335326521737235,0.1993981704162704,0.9085714285714286,1.0,0.30176886171102524,2306,13.039104599971324
SNN_signed_rate,1,42,18,3,6,46,31,0.06665591849494332,1.8036772012710571,0.7476190476190476,0.9904761904761905,6,1.7977350937848964,0.9961951711441993,0.7489106753812637,0.990542328042328,0.2974194162421756,2690,10.307933800155297
SNN_signed_rate,1,314,18,3,6,51,36,0.08573600162400913,1.9526108503341675,0.7380952380952381,0.9904761904761905,6,1.9463114936070538,0.9744271263189671,0.739246809835045,0.990542328042328,0.3048038462797801,2690,11.83767639985308
SNN_signed_rate,1,2718,18,3,6,53,38,0.09737768510125891,1.980519413948059,0.7428571428571429,0.9880952380952381,6,1.9728424238038145,1.0128684311565102,0.7438920012449425,0.9882275132275132,0.2994983573754629,2690,14.01108460011892
SNN_signed_rate,2,42,18,3,6,59,44,0.026965637933711796,1.4292004108428955,0.8009478672985783,0.9166666666666667,6,1.4395148639845174,0.8219098022621606,0.7995098039215686,0.9166666666666666,0.29275144735972086,2690,13.268773900112137
SNN_signed_rate,2,314,18,3,6,84,69,0.03651117097572482,1.4501032829284668,0.7962085308056872,0.9166666666666667,6,1.4573022542324834,0.6904137765293106,0.7954170557111734,0.9166666666666666,0.302396872970793,2690,19.161654399940744
SNN_signed_rate,2,2718,18,3,6,90,75,0.031476535086985676,1.3837401866912842,0.8341232227488151,0.9333333333333333,6,1.3934790325617443,0.7370907576858284,0.8325708061002178,0.9333333333333332,0.30303545859124925,2690,20.877531100064516
SNN_signed_rate,3,42,19,3,5,55,40,0.19945985496181806,1.3823559284210205,0.8114285714285714,0.9971428571428571,5,1.3829181734542775,0.7381099806750414,0.8108870214752567,0.9970588235294118,0.2971883149196704,2690,13.216578099876642
SNN_signed_rate,3,314,19,3,5,44,29,0.27229753172944693,1.4103870391845703,0.8171428571428572,0.9971428571428571,5,1.4135434220863434,0.5263782529770484,0.8160971055088704,0.9970588235294118,0.30538642158110935,2690,10.558568599866703
SNN_signed_rate,3,2718,19,3,5,61,46,0.203145589050749,1.4153690338134766,0.8057142857142857,0.9942857142857142,5,1.418194349219485,0.5975698451541673,0.80468720821662,0.9941176470588236,0.3063633901377519,2690,14.676770699908957
SNN_signed_rate,4,42,19,3,5,70,55,0.08108811414199105,1.6776715517044067,0.7727272727272727,0.8857954545454545,5,1.6785076955765015,0.9889721936383978,0.7733333333333333,0.8857142857142858,0.3109691012650728,2690,16.900787699967623
SNN_signed_rate,4,314,19,3,5,36,21,0.0826575341510276,1.732479214668274,0.7727272727272727,0.897159090909091,5,1.7331819668270292,0.9946623030389177,0.7728571428571429,0.8971428571428571,0.30094184043506783,2690,10.168649500003085
SNN_signed_rate,4,2718,19,3,5,72,57,0.08728234452752597,1.6205013990402222,0.7443181818181818,0.897159090909091,5,1.6193807705621872,0.9311379732828348,0.7447619047619047,0.8971428571428571,0.29918240010738373,2690,17.13626109994948
SNN_signed_rate,5,42,19,3,5,40,25,0.12994996824331068,0.6702284216880798,0.9657142857142857,1.0,5,0.6702283695765904,0.1484063829107541,0.9657142857142856,1.0,0.2930250366528829,2690,9.590685399947688
SNN_signed_rate,5,314,19,3,5,33,18,0.11174175431647297,0.7939051985740662,0.9142857142857143,1.0,5,0.7939052091326033,0.050648869004216494,0.9142857142857143,1.0,0.29654794310530025,2690,8.018977700034156
